Serial,Company ,Date, Change,NetProfit,NetCapital
13,Company.8,6/30/2006,1.108108108,108.1081081,1108.108108
14,Company.8,12/31/2006,0.991869919,-8.130081301,991.8699187
15,Company.8,6/30/2007,0.270491803,-729.5081967,270.4918033
15,Company.8,12/31/2007,2.303030303,1303.030303,2303.030303
17,Company.8,6/30/2008,0.736842105,-263.1578947,736.8421053
18,Company.8,12/31/2008,3.607142857,2607.142857,3607.142857
19,Company.8,6/30/2009,0.97029703,-29.7029703,970.2970297
20,Company.8,12/31/2009,0.071428571,-928.5714286,71.42857143
21,Company.8,6/30/2010,2.285714286,1285.714286,2285.714286
22,Company.8,12/31/2010,1.0625,62.5,1062.5
23,Company.8,6/30/2011,1,0,1000
24,Company.8,12/31/2011,1,0,1000
25,Company.8,6/30/2012,0.823529412,-176.4705882,823.5294118
26,Company.8,12/31/2012,0.75,-250,750
27,Company.8,6/30/2013,1.619047619,619.047619,1619.047619
28,Company.8,12/31/2013,0.852941176,-147.0588235,852.9411765
29,Company.8,6/30/2014,1.379310345,379.3103448,1379.310345
30,Company.8,12/31/2014,0.775,-225,775
31,Company.8,6/30/2015,0.838709677,-161.2903226,838.7096774
32,Company.8,12/31/2015,3.115384615,2115.384615,3115.384615
33,Company.8,6/30/2016,0.864197531,-135.8024691,864.1975309
34,Company.8,12/31/2016,1.142857143,142.8571429,1142.857143
35,Company.8,6/30/2017,1.0125,12.5,1012.5
36,Company.8,12/31/2017,0.987654321,-12.34567901,987.654321
37,Company.8,6/30/2018,1.175,175,1175
38,Company.8,12/31/2018,0.872340426,-127.6595745,872.3404255
39,Company.8,6/30/2019,1.146341463,146.3414634,1146.341463
40,Company.8,12/31/2019,1.936170213,936.1702128,1936.170213
41,Company.8,6/30/2020,0.93956044,-60.43956044,939.5604396
42,Company.8,12/31/2020,0.865497076,-134.502924,865.497076
43,Company.8,6/30/2021,1.047297297,47.2972973,1047.297297
,,,,,
1,Company.9,6/30/2000,NA,NA,NA
2,Company.9,12/31/2000,0.85106383,-148.9361702,851.0638298
3,Company.9,6/30/2001,1.175,175,1175
4,Company.9,12/31/2001,1.021276596,21.27659574,1021.276596
5,Company.9,6/30/2002,0.645833333,-354.1666667,645.8333333
6,Company.9,12/31/2002,1.161290323,161.2903226,1161.290323
7,Company.9,6/30/2003,1.805555556,805.5555556,1805.555556
8,Company.9,12/31/2003,1.107692308,107.6923077,1107.692308
9,Company.9,6/30/2004,1.125,125,1125
10,Company.9,12/31/2004,0.901234568,-98.7654321,901.2345679
11,Company.9,6/30/2005,1.356164384,356.1643836,1356.164384
12,Company.9,12/31/2005,0.939393939,-60.60606061,939.3939394
13,Company.9,6/30/2006,1.010752688,10.75268817,1010.752688
14,Company.9,12/31/2006,1.074468085,74.46808511,1074.468085
15,Company.9,6/30/2007,1.04950495,49.5049505,1049.50495
15,Company.9,12/31/2007,0.886792453,-113.2075472,886.7924528
17,Company.9,6/30/2008,1.117021277,117.0212766,1117.021277
18,Company.9,12/31/2008,1.019047619,19.04761905,1019.047619
19,Company.9,6/30/2009,0.869158879,-130.8411215,869.1588785
20,Company.9,12/31/2009,1.043010753,43.01075269,1043.010753
21,Company.9,6/30/2010,1,0,1000
22,Company.9,12/31/2010,0.886597938,-113.4020619,886.5979381
23,Company.9,6/30/2011,1.139534884,139.5348837,1139.534884
24,Company.9,12/31/2011,0.979591837,-20.40816327,979.5918367
25,Company.9,6/30/2012,0.958333333,-41.66666667,958.3333333
26,Company.9,12/31/2012,0.945652174,-54.34782609,945.6521739
27,Company.9,6/30/2013,1.057471264,57.47126437,1057.471264
28,Company.9,12/31/2013,0.75,-250,750
29,Company.9,6/30/2014,1.014492754,14.49275362,1014.492754
30,Company.9,12/31/2014,0.757142857,-242.8571429,757.1428571
31,Company.9,6/30/2015,1.132075472,132.0754717,1132.075472
